id,age,sex,income,married,save_act,pred,pred_prob
ID12709,42,1,33584.9,0,1,1,1.0
ID12761,64,1,60176.1,1,1,1,1.0
ID12896,66,1,58792.6,0,1,1,1.0
ID12889,50,0,31404.0,0,1,1,1.0
ID12884,66,0,60635.6,1,1,1,1.0
ID12883,33,1,15228.7,1,1,1,1.0
ID12837,54,1,51468.3,1,1,1,1.0
ID12816,60,0,30498.4,0,1,1,1.0
ID12802,52,0,33043.5,0,0,1,1.0
ID12798,37,1,31979.9,0,1,1,1.0
ID12768,46,1,32101.4,0,1,1,1.0
ID12766,44,0,31833.7,0,1,1,1.0
ID12803,66,1,61476.8,1,1,1,1.0
ID12747,65,0,58002.2,0,1,1,1.0
ID12753,40,0,32089.9,0,1,1,1.0
ID12736,63,1,54182.5,1,1,1,1.0
ID12757,38,1,30943.7,0,1,1,1.0
ID12811,67,1,39137.0,0,1,1,0.7916666666666666
ID12853,56,0,48758.6,0,1,1,0.7916666666666666
ID12849,56,0,37699.6,0,1,1,0.7916666666666666
ID12831,56,0,41523.0,0,1,1,0.7916666666666666
ID12743,66,1,43720.4,0,1,1,0.7916666666666666
ID12820,42,0,35712.8,0,0,1,0.7916666666666666
ID12818,54,0,44982.1,0,1,1,0.7916666666666666
ID12817,47,1,36766.0,0,0,1,0.7916666666666666
ID12814,57,1,37548.0,0,0,1,0.7916666666666666
ID12808,58,0,40491.4,0,1,1,0.7916666666666666
ID12721,40,1,37227.8,0,1,1,0.7916666666666666
ID12756,58,1,37681.4,0,0,1,0.7916666666666666
ID12797,65,0,47289.2,0,1,1,0.7916666666666666
ID12791,56,0,50209.7,0,1,1,0.7916666666666666
ID12790,45,0,38496.9,0,0,1,0.7916666666666666
ID12782,44,1,39202.2,0,1,1,0.7916666666666666
ID12779,57,1,39576.3,0,1,1,0.7916666666666666
ID12807,65,0,38858.5,1,0,1,0.7272727272727273
ID12744,60,0,27372.7,1,0,1,0.7272727272727273
ID12872,60,0,25296.9,1,0,1,0.7272727272727273
ID12745,52,0,16700.2,0,1,1,0.7222222222222222
ID12759,54,0,27775.7,0,0,1,0.7222222222222222
ID12876,47,1,15237.0,0,0,1,0.7222222222222222
ID12746,61,1,26527.9,0,0,1,0.7222222222222222
ID12821,60,0,27558.6,0,1,1,0.7222222222222222
ID12804,60,1,19849.0,0,1,1,0.7222222222222222
ID12898,54,1,29348.8,0,0,1,0.7222222222222222
